year,$\mu$,$\mu_{dp}$
1971,1.665414909,1.62747673
1972,1.372832685,1.397124696
1973,0.94986422,0.978073978
1974,0.684375101,0.715655387
1975,0.863134473,0.868400606
1976,0.913645291,0.946083912
1977,0.924357028,0.949375285
1978,1.021005101,1.062285555
1979,0.951743599,0.989319961
1980,1.176147903,1.243533536
1981,1.065294924,1.077116318
1982,1.426915785,1.375728314
1983,1.733626474,1.80217642
1984,1.619847668,1.617804828
1985,1.83304146,1.824907596
1986,1.99914859,2.014248809
1987,1.767831847,1.8705161
1988,1.712771212,1.739177002
1989,1.721216457,1.786605776
1990,1.501536456,1.45070236
1991,1.808201575,1.802086489
1992,1.960342612,1.994775304
1993,2.135632588,2.218493524
1994,1.933021321,2.050965613
1995,2.190908026,2.357446013
1996,2.172828967,2.372977909
1997,2.592286863,2.774183859
1998,1.996936624,2.126544701
1999,2.204587985,2.313306989
2000,1.597584205,1.807935403
2001,1.778691506,1.879987349
2002,1.497666084,1.580977199
2003,2.447710771,2.692351416
2004,2.39626082,2.687221273
2005,2.642451331,2.865241137
2006,2.555909324,2.863193596
2007,2.025639246,2.195668391
2008,1.141023161,1.215126956
2009,1.78980847,1.946230874
2010,2.072969532,2.281932066
2011,1.876068451,2.13122984
2012,2.051651114,2.283313885
2013,2.452026631,2.639028439
2014,2.402198597,2.562383666
2015,2.130578031,2.175824172
2016,2.5210954,2.6202627190
2017,2.537015021,3.83844259
2018,2.417014778,4.405107755
2019,1.670051648,3.339647584
2020,2.952539495,6.202175773
