ticker,RSSD9001
ABCB,1082067
ABTX,3744239
AMNB,1076691
AMP,2433312
AMTBB,1135972
AROW,1048812
ASB,1199563
AUB,1971693
AX,3814310
BAC,1073757
BANC,3153130
BANF,1133286
BANR,2126977
BBCN,2961879
BBT,1074156
BDGE,1416523
BFST,3488850
BHB,1115385
BHLB,2333663
BK,3587146
BKU,4028712
BMRC,3590388
BMTC,1140994
BOFI,3814310
BOH,1025309
BOKF,1883693
BPFH,1248078
BPOP,1129382
BRKL,2631510
BSVN,3256134
BUSE,1203602
BWB,3378764
BY,1204627
C,1951350
CAC,1130249
CADE,4882802
CARO,2507790
CARV,2531245
CASH,2390013
CASS,1098648
CATC,1115013
CATY,1843080
CBSH,1049341
CBTX,3594872
CBU,1048867
CCBG,1085509
CCNE,1118340
CFB,3903661
CFFN,4226910
CFG,1132449
CFR,1102367
CHCO,1076262
CHFC,1201934
CHMG,1133594
CIT,1036967
CIVB,1246533
CLBK,2571120
CMA,1199844
CNBKA,1111088
CNOB,1048764
COF,2277860
COLB,2078816
CPF,1022764
CSFL,2868129
CTBI,1070644
CUBI,4284536
CVBF,1029222
DCOM,2487650
DFS,3846375
EBSB,1902651
EBTC,2461016
EFSC,2303910
EGBN,2652104
EQBK,3180547
ETFC,3412583
EWBC,2734233
FAF,1250101
FBC,3852022
FBIZ,1247428
FBK,1132104
FBMS,2385493
FBNC,1076431
FBP,2744894
FCBC,1478017
FCF,1071306
FCNCA,1075612
FDEF,3316917
FFBC,1071276
FFIC,2393274
FFIN,1102312
FFWM,3842658
FHN,1094640
FIBK,1123670
FISI,1032464
FITB,1070345
FLIC,1048894
FMBH,1206760
FMBI,1208184
FNB,3005332
FRBK,1398807
FRME,1208559
FSB,3637582
FULT,1117129
FUNC,1132672
GABC,1098620
GBCI,2003975
GSBC,2339133
GWB,4809920
HAFC,2900261
HBAN,1068191
HBHC,1086533
HBNC,1209136
HBT,1208120
HFWA,2166124
HMST,3843507
HOMB,1491409
HONE,4973362
HOPE,2961879
HTBI,4366003
HTBK,2634874
HTH,3838727
HTLF,1206546
HWBK,2038409
HWC,1086533
IBCP,1201925
IBKC,2291914
IBOC,1104231
IBTX,3140288
INBK,3393178
INDB,1136803
ISBC,2477754
ISTR,4090054
JPM,1039502
KEY,1068025
KRNY,3099443
LARK,3030307
LBAI,1404799
LION,1081118
LKFN,1208906
LOB,3884863
LTXB,4191465
MBIN,3530786
MBNAB,1135972
MBWM,2608763
MOFG,1245228
MRLN,3832583
MSBI,1491351
MTB,1037003
MVBF,3211601
MYFW,3189906
NBHC,3973888
NBTB,1139279
NCBS,3103603
NFBK,3132863
NTRS,1199611
NWBI,4122722
NYCB,2132932
OBNK,1885307
OCFC,2609975
OFG,2490575
OLBK,3200221
ONB,1098303
ORIT,2692892
ORRF,1248153
PACW,2875332
PB,1109599
PBCT,3650152
PEBK,2818245
PEBO,1070578
PFBI,2007647
PFC,3316917
PFS,3133637
PGC,2651590
PNC,1069778
PNFP,2925657
PPBI,3489594
PRK,1142336
QCRH,2125813
RBB,4176855
RBCAA,1097025
RF,3242838
RJF,3815157
RNST,1098844
RRBI,2743235
SASR,1248304
SBCF,1085013
SBSI,1245068
SBT,3852031
SCHW,1026632
SF,3063622
SFBS,3635319
SFNC,1094828
SFST,2849799
SIVB,1031449
SMBC,3266227
SNV,1078846
SONA,3325740
SPFI,2033226
SRCE,1199602
SSB,1133437
STBA,1071397
STI,1131787
STL,3083291
STT,1111435
SYBT,1249730
SYF,4504654
TBBK,2858951
TBK,3233126
TCB,2389941
TCBI,2706735
TCBK,1030170
TCF,2389941
TFC,1074156
THFF,1208595
TMP,2367921
TRMK,1079562
TRST,1048513
TSC,3475074
UBNK,2509413
UBSH,1971693
UBSI,1076217
UCBI,1249347
UMBF,1049828
UMPQ,2747644
USB,1119794
UVSP,1116609
VBTX,4105266
VLY,1048773
WABC,1025541
WAFD,3065617
WAL,2349815
WASH,1115349
WBS,1145476
WFC,1120754
WSBC,1070448
WSBF,4523431
WSFS,3844269
WTFC,2260406
